Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Law No. 434-VI “On social services”.,2021.0,Turkmenistan,"This Law determines the legal, organizational and economic the basis for the provision of social services to certain categories of persons. Social service shall be intended a set of measures and actions taken to meet the individual needs of certain categories of persons, with the purpose of improving their living conditions and (or) expanding their opportunities to independently provide their basic individual needs, as well as to overcome a difficult life situation. User of social services shall be intended a person who is recognized as needing the provision of social services and to whom social services are provided. Social service providers shall be intended social service institutions, and also other legal entities, regardless of the form of ownership and (or) individual entrepreneurs providing social services. This Law applies to citizens of Turkmenistan, foreign citizens and stateless persons permanently residing in territory of Turkmenistan, refugees, as well as legal entities regardless of the form of ownership and individual entrepreneurs, operating in the field of social services. The goals of social services are: (a) promotion of equal opportunities for all members of society, aimed at strengthening social cohesion and preventing social isolation; (b) assistance to lead a decent, safe and creative life, equal participation in the public life of the state; (c) assistance to persons in overcoming difficult life situations, which they are unable to resolve with their own resources and available opportunities; (d) forecasting and prevention of the occurrence of difficult life situations; and (e) intensification of their own efforts of individuals and families, creating conditions for problem solving on their own. The main principles in the field of social services are: (a) ensuring equal opportunities for the use of social services; (b) targeting; (c) availability and accessibility; (c) voluntariness; (d) observance of the rights of users of social services; (e) provision of social services taking into account individual needs of users of social services; and (f) confidentiality. The state guarantees to individuals, families, groups of persons recognized as persons in need of social services, the possibility of using social services based on an assessment of individual needs for overcoming difficult life situations. Grounds for recognizing a person in need of social services are: (a) disability; (b) old age; (c) the consequences of an industrial injury and occupational disease; (d) loss of a breadwinner, loneliness, orphanhood, homelessness and neglect; (e) lack of a fixed place of residence; (f) forced change of the country of permanent residence; (g) victim of human trafficking; (h) consequences of violence or situations associated with a risk to life; (i) family trouble; and (j) other difficult life situations. Social services can be provided on temporary or permanent basis. This Law contains VI Chapters divided into 25 Articles. Chapter I lays down general provisions. Chapter II regards state regulation and control in the field of social services. Chapter III establishes state guarantees in the field of social services. Chapter IV regards the particulars of the provision of social services. Chapter V establishes rights and obligations of users of social services and employees of the providers of social services. Chapter VI lays down final provisions.",https://www.ecolex.org/details/legislation/law-no-434-vi-on-social-services-lex-faoc207609/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,General, Legislation,"Social protection,Public health,Business/industry/corporations","Asia, Caspian Sea, Central Asia, CIS (Commonwealth of Independent States), EUROPE AND CENTRAL ASIA, Landlocked Developing Countries, North Asia",This Law enters into force on 1 January 2022.,ECOLEX_Legislation
Law No. 435-VI “On the prevention and control of non-contagious diseases”.,2021.0,Turkmenistan,"This Law determines the legal, organizational, economic and social basis for the prevention and control of non-contagious diseases. Non-contagious diseases shall be intended a group of health disorders, resulting from a combination of genetic, physiological, environmental and behavioral factors. Prevention of non-contagious diseases shall be intended a set of measures, aimed at preventing the occurrence of non-infectious diseases, elimination of risk factors for their development. This Law applies to citizens of Turkmenistan, and also, unless otherwise provided by law and international agreements of Turkmenistan, to those residing/staying in the territory Turkmenistan foreign citizens and stateless persons. The main directions of state policy in the field of prevention of non-contagious diseases and their control are: (a) creation of necessary conditions for life and health protection of patients with non-contagious diseases; (b) maintaining the necessary social level of vital activity of patients with non-contagious diseases at any age; (c) implementation of healthcare measures, prevention, early identification, treatment and ongoing checkup of individuals at high risk or the likelihood of non-contagious diseases to prevent health complications, reducing the need for inpatient treatment and expensive high-tech interventions, as well as reducing premature mortality; (d) ensuring equal access to the established range of services for healthcare, prevention, treatment and rehabilitation, palliative assistance and a set of basic, safe, affordable, effective and high-quality medicines and medical products in accordance with the legislation of Turkmenistan; (e) implementation of measures to improve the quality of medical care in order to prevent non-contagious diseases; (f) provision of primary specialized healthcare, including medical care on a free or preferential basis, in the order established by the legislation of Turkmenistan; (g) provision of patients affected by major non-contagious diseases with medicines and medical devices for free or preferential basis in the manner prescribed by law of Turkmenistan; and (h) scientific research in the field of forecasting and development of new methods of prevention, diagnosis and treatment of non-contagious diseases. This Law contains V Chapters divided into 21 Articles. Chapter I lays down general provisions. Chapter II regards state regulation and control in the field of prevention of non-contagious diseases. Chapter III establishes organizational basis in the field of prevention of non-contagious diseases. Chapter IV establishes rights and obligations of patients affected by non-contagious diseases, and social protection of medical staff. Chapter V lays down final provisions.",https://www.ecolex.org/details/legislation/law-no-435-vi-on-the-prevention-and-control-of-non-contagious-diseases-lex-faoc207610/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,General, Legislation,"Public health,Research,Social protection","Asia, Caspian Sea, Central Asia, CIS (Commonwealth of Independent States), EUROPE AND CENTRAL ASIA, Landlocked Developing Countries, North Asia",This Law enters into force on the date of its official publication.,ECOLEX_Legislation
Regulation on the revision of the Biomass Electricity Sustainability Ordinance.,2021.0,Germany,"This Regulation provides for implementation of the EU regulations and national Renewable Energy Act regarding generating biofuels and biomass fuel used in plants. The Regulation provides for remuneration, agricultural biomass, forest biomass, greenhouse savings and generating electricity. The Regulations provides for the obligation of transmission of the evidence on fulfilment of the requirements by the acting sectors to the competent authority. The Regulations provides for issuance of certificate, its recognition, validity and information to be included in its content. The Regulation determines competent authorities for monitoring and obtaining information and data transmission. The Regulation consists of 7 Parts and 55 Articles as follow: General provision (1); Sustainability requirements (2); Proof (3); Central register (4); Data processing, reporting obligations, official procedure (5); Administrative offences (6); Transitional and final provision (7).",https://www.ecolex.org/details/legislation/regulation-on-the-revision-of-the-biomass-electricity-sustainability-ordinance-lex-faoc206994/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,"Energy, Environment gen.", Regulation,"Renewable energy,Energy conservation/energy production,Bioenergy,Biofuel,Certification,Data collection/reporting,Monitoring,Registration","Alps, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Sea, North-East Atlantic, Western Europe",This Regulation comes into force on 7 December 2021.,ECOLEX_Legislation
Regulation on the implementation of the Programme of support to primary agricultural producers in livestock due to difficult business conditions caused by the COVID-19 pandemic.,2021.0,Croatia,"This Regulation, based on the provisions of the Croatian Law on the agriculture, prescribes the implementation of the Support Programme for Primary Agricultural Producers in Animal Husbandry due to difficult business conditions caused by the COVID-19 pandemic. Support under this Programme is granted on the basis of the Communication from the European Commission - Temporary Framework for State Aid Measures to Support the Economy in the Current COVID Pandemic 19, adopted on 19 March 2020. Measures in the implementation of the Programme are: Measure 1. Support in the cattle sector; Submeasure 1.1. Support for primary milk producers, Submeasure 1.2. Support for cow-calf cattle breeders and Submeasure 1.3. Support for fattening cattle breeders; Measure 2. Support in the pig sector, Sub-measure 2.1. Support for sow breeders, Submeasure 2.2. Support for fattening pig producers; Measure 3. Support in the sheep and goat sector; Measure 4. Support in the horse breeding sector; Measure 5. Support in the poultry sector, Submeasure 5.1. Support for the production of table eggs, Submeasure 5.2. Support for poultry meat production. Micro, small and medium-sized enterprise, among family farmers are beneficiaries of these measures.",https://www.ecolex.org/details/legislation/regulation-on-the-implementation-of-the-programme-of-support-to-primary-agricultural-producers-in-livestock-due-to-difficult-business-conditions-caused-by-the-covid-19-pandemic-lex-faoc206804/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,"Agricultural & rural development, Livestock, Food & nutrition, General", Regulation,"Liability/compensation,Disasters,Financial agricultural measures,Family farming,Farming,Milk/dairy products,Poultry products,Animal production,Cattle,Equine-animals,Sheep/goats,Poultry,Swine","Europe, EUROPE AND CENTRAL ASIA, Mediterranean, Southern Europe",This text entered into force on the day after its publication in the Official Gazette (published on 3 December 2021).,ECOLEX_Legislation
Regulation on the implementation of the Poultry Sector Support Programme due to difficult business conditions caused by the COVID-19 pandemic.,2021.0,Croatia,"This Regulation, based on the provisions of the Croatian Law on the agriculture, prescribes the implementation of the Poultry Support Programme due to difficult business conditions caused by the COVID-19 pandemic. Support under this Programme is granted on the basis of the Communication from the European Commission - Temporary Framework for State Aid Measures to Support the Economy in the Current COVID Pandemic 19, adopted on 19 March 2020. Measures in the implementation of this Programme are as follows: 1. Aid for losses due to forced freezing of poultry meat and falling sales of fresh poultry meat; 2. Support for losses due to difficulties in the placement of Class A eggs. Micro, small and medium-sized enterprise are beneficiaries of these measures. The Annex is part of this publication (administrative declaration form).",https://www.ecolex.org/details/legislation/regulation-on-the-implementation-of-the-poultry-sector-support-programme-due-to-difficult-business-conditions-caused-by-the-covid-19-pandemic-lex-faoc206805/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,"Agricultural & rural development, Food & nutrition, General", Regulation,"Liability/compensation,Disasters,Financial agricultural measures,Farming,Poultry products","Europe, EUROPE AND CENTRAL ASIA, Mediterranean, Southern Europe",This text entered into force on the day after its publication in the Official Gazette (published on 3 December 2021).,ECOLEX_Legislation
Decree on the quality of liquid petroleum fuels.,2021.0,Croatia,"This Decree, based on the provisions of the Croatian Law on air protection, prescribes limit values of components and/or quality characteristics of liquid petroleum fuels, method of determining and monitoring the quality of liquid petroleum fuels, conditions for operation of laboratories for sampling and laboratory analysis of quality of liquid petroleum fuels, method of proving product conformity, product name and marking and deadlines for submitting reports on the quality of liquid petroleum fuels, the format of the report and the method of submitting data to the competent bodies of the European Union. The Annex is part of this publication (I-IX, set of technical data sheets, administrative declaration form).",https://www.ecolex.org/details/legislation/decree-on-the-quality-of-liquid-petroleum-fuels-lex-faoc206806/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,Air & atmosphere, Regulation,"Oil pollution,Air quality/air pollution,Emissions,Data collection/reporting,Monitoring,Inspection,Pollution control","Europe, EUROPE AND CENTRAL ASIA, Mediterranean, Southern Europe",This text entered into force eight days after its publication in the Official Gazette (published on 3 December 2021).,ECOLEX_Legislation
"Ordinance amending the Ordinance No. 6 of 26.06.2006 on the environmental noise indicators, taking into account the degree of discomfort during the different parts of the day, the limit values of the environmental noise indicators, the methods of evaluation of the noise and harmful effects values from the noise on the health of the population.",2021.0,Bulgaria,"This Ordinance amends certain contents part of the Ordinance No. 6 of 26.06.2006 on the environmental noise indicators, taking into account the degree of discomfort during the different parts of the day, the limit values of the environmental noise indicators, the methods of evaluation of the noise and harmful effects values from the noise on the health of the population. The title of the ordinance is amended as follows: “Ordinance № 6 of 2006 on environmental noise indicators, taking into account the degree of discomfort during the different parts of the day, the limit values of environmental noise indicators, in residential premises and public buildings, in residential areas and territories, recreational areas and mixed-use areas and areas, methods for estimating the values of noise indicators and the harmful effects of noise on public health”; The title of Section II is amended as follows: “Environmental noise indicators, limit values of noise indicators in the premises of residential and public buildings, in zones and territories intended for housing construction, recreational zones and territories and zones with mixed use and methods for estimating the values of noise indicators and the harmful effects of noise on public health”; also new methods for assessment of adverse effects (Annex 4)) is here amended.",https://www.ecolex.org/details/legislation/ordinance-amending-the-ordinance-no-6-of-26062006-on-the-environmental-noise-indicators-taking-into-account-the-degree-of-discomfort-during-the-different-parts-of-the-day-the-limit-values-of-the-environmental-noise-indicators-the-methods-of-evaluation-of-the-noise-and-harmful-effects-values-from-the-noise-on-the-health-of-the-population-lex-faoc207009/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,Environment gen., Regulation,"Noise pollution,Environmental audit,Public health","Black Sea, Eastern Europe, Europe, EUROPE AND CENTRAL ASIA, European Union Countries",This text entered into force on the day of its publication in the Official Gazette (published on 30 November 2021).,ECOLEX_Legislation
"Decree № 408 of 29 November 2021 amending and supplementing the Rules of Procedure of the Agricultural Academy, adopted by Decree № 151 of the Council of Ministers of 2018.",2021.0,Bulgaria,This Decree amends several parts of the Decree № 151 of 25 July 2018 on the adoption of the Rules of procedure of the Agricultural Academy (published in the Official Gazette of the Republic of Bulgaria 63/2018). Major changes are regarding the contents of article 2 (The budget of the Academy has the status of a budget of a first-level spending unit within the meaning of the Public Finance Act); main task and scopes (article 3); rules on administration duties (article 25-26).,https://www.ecolex.org/details/legislation/decree-no-408-of-29-november-2021-amending-and-supplementing-the-rules-of-procedure-of-the-agricultural-academy-adopted-by-decree-no-151-of-the-council-of-ministers-of-2018-lex-faoc207007/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,Agricultural & rural development, Regulation,"Agricultural development,Research,Institution,Education,Procedural matters","Black Sea, Eastern Europe, Europe, EUROPE AND CENTRAL ASIA, European Union Countries",This text shall enter into force on the first day of the month following the month of its promulgation in the State Gazette (published on 3 December 2021).,ECOLEX_Legislation
Decree on the method of determining and calculating contributions for the provision of support for the production of electricity in high-efficiency cogeneration and from renewable energy sources.,2021.0,Slovenia,"This Decree, based on the provisions of the Slovenian Act on the promotion of the use of renewable energy sources, determines the method of calculating contributions for the provision of support for the production of electricity from high-efficiency cogeneration and from renewable energy sources. Persons liable to pay contributions for the provision of support for the production of electricity in high-efficiency cogeneration and from renewable energy sources are final consumers of electricity and final consumers of solid, liquid, gaseous fossil fuels or district heating for final use. The Annex is also part of this publication (Annex 1: List of main activities of final customers of electricity that may be eligible for a reduced contribution to provide support for the production of electricity from renewable energy sources and in high-efficiency cogeneration; Annex 2: List of main activities of final customers of electricity that may be eligible for a reduced contribution to provide support for the production of electricity from renewable energy sources and in high-efficiency cogeneration due to high electricity intensity; Annex 3: Form for the inclusion of the final customer of electricity on the list of beneficiaries of the reduced contribution for the provision of support for the production of electricity from renewable energy sources and in high-efficiency cogeneration).",https://www.ecolex.org/details/legislation/decree-on-the-method-of-determining-and-calculating-contributions-for-the-provision-of-support-for-the-production-of-electricity-in-high-efficiency-cogeneration-and-from-renewable-energy-sources-lex-faoc206784/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,Energy, Regulation,"Energy conservation/energy production,Procedural matters,Renewable energy,Royalties/fees","Alps, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, Mediterranean, Southern Europe",This text entered into force on 27 November 2021.,ECOLEX_Legislation
Measures of the Customs of the People's Republic of China for the administration of approved exporters.,2021.0,China,"These Measures, consisting of 20 Articles, are enacted to effectively implement the approved exporter management system under the preferential trade agreements concluded or acceded to by the people's Republic of China, standardize the management of the origin of export goods and promote foreign trade.",https://www.ecolex.org/details/legislation/measures-of-the-customs-of-the-peoples-republic-of-china-for-the-administration-of-approved-exporters-lex-faoc207217/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,General, Regulation,"International trade,Inspection,Authorization/permit,International agreement-implementation","Asia, ASIA AND THE PACIFIC, East Asian Seas, Eastern Asia, North Pacific, North-West Pacific",,ECOLEX_Legislation
