Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Ley Nº 12/2017 - Ley de de urbanismo de las Illes Balears.,2017.0,Spain,"La presente Ley tiene por objeto establecer el régimen jurídico general regulador de la actividad administrativa en materia de urbanismo en las Illes Balears, y definir el régimen jurídico-urbanístico de la propiedad del suelo de acuerdo con su función social. Las políticas públicas relativas a la regulación, la ordenación, la ocupación, la transformación y el uso del suelo tendrán como finalidad común la utilización de este recurso de acuerdo con el interés general y según el principio de desarrollo sostenible, sin perjuicio de los objetivos específicos que les atribuyan las leyes. En virtud del principio de desarrollo sostenible, las políticas a que se refiere el apartado anterior deberán propiciar el uso racional de los recursos naturales y armonizar los requerimientos de la economía, la ocupación, la cohesión social, la igualdad de trato y de oportunidades, la salud y la seguridad de las personas, y la protección del medio ambiente.",https://www.ecolex.org/details/legislation/ley-no-122017-ley-de-de-urbanismo-de-las-illes-balears-lex-faoc182646/?type=legislation&xsubjects=Mineral+resources&page=397,Land & soil, Legislation,"Land-use planning,Basic legislation,Soil conservation/soil improvement,Soil pollution/quality,Soil rehabilitation,Urban land,Use restrictions","Europe, EUROPE AND CENTRAL ASIA, European Union Countries, Mediterranean, North Atlantic, North-East Atlantic, Southern Europe",,ECOLEX_Legislation
"Decreto Nº 2253 - Modifica el Decreto Único Reglamentario del Sector Administrativo de Minas y Energía y el Decreto Único Reglamentario del Sector Ambiente y Desarrollo Sostenible, en lo relacionado con el incentivo a las inversiones en hidrocarburos y minería.",2017.0,Colombia,"El presente Decreto modifica el Decreto Único Reglamentario del Sector Administrativo de Minas y Energía y el Decreto Único Reglamentario del Sector Ambiente y Desarrollo Sostenible, en lo relacionado con el incentivo a las inversiones en hidrocarburos y minería. La presente modificación tiene por objeto establecer los parámetros y lineamientos para el otorgamiento del incentivo al incremento de las inversiones en exploración y explotación de hidrocarburos y minerales a través de Certificados de Reembolso Tributario (CERT). Las inversiones en el sector de hidrocarburos que darán lugar al otorgamiento del CERT serán exclusivamente aquellas que tengan por objeto el descubrimiento de nuevas reservas de hidrocarburos, la adición de reservas probadas o la incorporación de nuevas reservas recuperables, ya sea mediante actividades de exploración o mediante actividades dirigidas al aumento del factor de recobro en proyectos de cuencas en tierra firme, incluidas en este último caso las respectivas pruebas piloto. En el sector de minería, las inversiones que podrán acceder al incentivo son las que tienen como objeto mantener o incrementar la producción de los proyectos actuales, acelerar los proyectos que están en transición (de construcción y montaje a explotación) e incrementar los proyectos de exploración minera.",https://www.ecolex.org/details/legislation/decreto-no-2253-modifica-el-decreto-unico-reglamentario-del-sector-administrativo-de-minas-y-energia-y-el-decreto-unico-reglamentario-del-sector-ambiente-y-desarrollo-sostenible-en-lo-relacionado-con-el-incentivo-a-las-inversiones-en-hidrocarburos-y-mineria-lex-faoc181876/?type=legislation&xsubjects=Mineral+resources&page=397,Mineral resources, Regulation,"Mining,Exploration,Oil,Minerals,Tax/levy,Subsidy/incentive,Non-governmental entity,Concession,Contract/agreement","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North-East Pacific, South America, South-Eastern Pacific",,ECOLEX_Legislation
Law No. 22.805 establishing measures related to accidents in the transport of dangerous products or waste in the State.,2017.0,Brazil,"This Law establishes measures to be taken in the occurrence of accidents in the transport of dangerous products or waste in the State, in compliance with federal legislation and other applicable state regulations. In the event of an accident occurring in the transportation of dangerous products or waste, the State, directly or through its concessionaires, shall adopt the following measures: it shall immediately call the competent bodies upon the knowledge of the occurrence of the accident; identify and isolate the accident scenario in accordance with the technical rules for emergency response to hazardous products and waste; implement to ensure signaling and information to road users in suitable places that allow the adoption of alternative routes; with the support of the traffic authority agents shall make appropriate deviations for the vehicles affected by the accident when necessary. A related Regulation will define the preventive measures and list the places with the highest incidence of accidents.",https://www.ecolex.org/details/legislation/law-no-22805-establishing-measures-related-to-accidents-in-the-transport-of-dangerous-products-or-waste-in-the-state-lex-faoc185190/?type=legislation&xsubjects=Mineral+resources&page=397,"Environment gen., Waste & hazardous substances", Legislation,"Waste non-domestic sources,Transport/storage,Hazardous waste,Hazardous substances,Waste disposal,Waste management,Early warning system/emergency intervention system","Amazonia, Americas, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North Atlantic, South America, South Atlantic",This Law enters into force on the day of its publication.,ECOLEX_Legislation
Loi n°1/27 du 29 décembre 2017 portant révision du code pénal.,2017.0,Burundi,"La présente loi régit le code pénal.   Elle punit les infractions suivantes: la destruction et de la dégradation d'arbres, de récoltes ou d'autres propriétés (articles 338-339); la destruction d'animaux (articles 340-341). Aux termes des dispositions de l’article 638, est punit le fait d'introduire dans l'atmosphère, sur le sol, dans le sous-sol ou dans les eaux, des rivières ou du lac et appartenant au territoire du Burundi, une substance de nature à mettre en péril la santé des populations humaines ou des animaux, dans le but de troubler gravement l'ordre public par l’intimidation et la terreur.",https://www.ecolex.org/details/legislation/loi-n127-du-29-decembre-2017-portant-revision-du-code-penal-lex-faoc185179/?type=legislation&xsubjects=Mineral+resources&page=397,"Agricultural & rural development, Livestock, Environment gen., Water, Wild species & ecosystems", Legislation,"Agricultural commodities,Liability/compensation,Offences/penalties,Pollution control,Air quality/air pollution,Water conservation zone,Soil pollution/quality,Animal production,Freshwater quality/freshwater pollution,Wild fauna,Wild flora,Management/conservation","Africa, AFRICA FAO, Eastern Africa, Landlocked Developing Countries, Least Developed Countries",,ECOLEX_Legislation
"Amendments Final Notification to the Telangana (Agricultural Produce & Livestock) Markets Rules, 1969.",2017.0,India,"In exercise of the powers conferred under sub-section (1) read with clause (iv) of sub-section (2) of section 33 of the Telangana (Agricultural Produce & Livestock) Markets Act, 1966 (Act No. 16 of 1966), the Government hereby makes the following amendments to the Telangana (Agricultural Produce  and Livestock) Markets Rules, 1969 issued in G.O.Ms. No. 1990, Food & Agriculture (Legislation),  dated 17-10-1969 published in issue No. 27 of Rules Supplement to Part-II, Extraordinary of the  Andhra Pradesh Gazette, dated 21-10-1969 and as subsequently amended from time to time and adopted  to the State of Telangana in the G.O.Ms. No. 8, Agriculture & Cooperation (Mktg.II) Dept., Dt: 02.08.2014. Amendments deal with the following issues: Grant or renewal of trader licence under sub-section (1-A) of section 7 and Fees Chargeable; Grant or renewal of licence for  Direct Purchase Centre under sub-section (1-E) of Section 7 and fees chargeable; Grant or renewal of licence for commission Agent, Warehouse, Processor, Weighman, Hamal, etc.; Declaration and Notification of Warehouse/Processing Unit as a Market; etc.",https://www.ecolex.org/details/legislation/amendments-final-notification-to-the-telangana-agricultural-produce-livestock-markets-rules-1969-lex-faoc185445/?type=legislation&xsubjects=Mineral+resources&page=397,"Agricultural & rural development, Livestock", Regulation,"Agricultural commodities,Authorization/permit,Registration,Institution,Internal trade,International trade,Contract farming,Animal production,Animal health","Asia, ASIA AND THE PACIFIC, Indian Ocean, South Asian Seas, Southern Asia",,ECOLEX_Legislation
Law on local self-government.,2017.0,Montenegro,"This Law determines the general principles and managing rules of the local self-government units, in relation with their local government bodies and public affairs and responsibilities in front of local citizens and state administration and legal issues.",https://www.ecolex.org/details/legislation/law-on-local-self-government-lex-faoc178907/?type=legislation&xsubjects=Mineral+resources&page=397,"Agricultural & rural development, Environment gen., Water", Legislation,"Agricultural development,Local government,Agricultural land,Inspection,Gender,Equity,Offences/penalties,Water supply,Waterworks","Europe, EUROPE AND CENTRAL ASIA, Mediterranean, Southern Europe",This Law enters into force eight days after its publication in the Official Gazette.,ECOLEX_Legislation
"Resolution No. 605 of 2017 of Georgian Government on Health Rules of Non-Food Products of Animal Origin (including Waste of Animal Origin) and By-products, which are not Intended for Human Consumption, and Rules for  Recognition of Business Operators Working with the Same.",2017.0,Georgia,"The Resolution lays down health rules for animal products, animal waste and by-products not intended for human consumption, and rules for certification of business operators dealing with such products. It consists of 17 chapters: General provisions (I); Disposal and use of animal by-products and derived products (II); Restrictions on use of animal by-products (III); Disposal/use, restoring and using as fuel (IV); Types of plants and fuels which may be used for combustion and special rules for certain types of enterprises (V); Requirements imposed on processing at a processing plant, certain other plants and at an enterprise (VI); Transformation of animal by-products and derived products into biogas and compost (VII); Special rules for research, animal feed, collection and disposal (VIII); Collection, transportation and traceability (IX); Requirements imposed on certain certified and registered enterprise and plants (X); Feed material (XI); Organic fertilisers or soil improvers (XII); Intermediate products (XIII); Petfood and certain other derived products (XIV); Importation, export and transit (XV); and State Control (XVI).",https://www.ecolex.org/details/legislation/resolution-no-605-of-2017-of-georgian-government-on-health-rules-of-non-food-products-of-animal-origin-including-waste-of-animal-origin-and-by-products-which-are-not-intended-for-human-consumption-and-rules-for-recognition-of-business-operators-working-with-the-same-lex-faoc178652/?type=legislation&xsubjects=Mineral+resources&page=397,"Livestock, Land & soil", Regulation,"Fertilizers/nutrients,Soil conservation/soil improvement,Public health,Non-edible products,Business/industry/corporations,Organic waste,Animal feed/feedstuffs,Animal health,Animal production,Certification,Hygiene/sanitary procedures,Traceability/product tracing,Transport/storage,Processing/handling,Internal trade,International trade,Slaughtering,Classification/declassification,Enforcement/compliance,Disinfection/disinfestation,Protection of environment,Registration,Research,Standards,Bioenergy","Asia, Black Sea, Eastern Europe, EUROPE AND CENTRAL ASIA, Western Asia","Most of the Resolution enters into force on 1 January 2020. However, certain provisions enter into force on 1 May 2018 and 1 September 2026.",ECOLEX_Legislation
Law No. HO-0-N amending Law No. HO-82-N “On environmental control”.,2017.0,Armenia,Article 22 shall be amended to add the following wording: “Environmental tax – fees for the use of natural resources: (a) environmental tax and (or) payers of fees for the use of natural resources (except for taxpayers) must comply with the requirements of the registration procedure for subsoil users; and (b) object of environmental tax and (or) fees for the use of natural resources (excluding subsoil use) shall be calculated in accordance with actual amount of used natural resources.”,https://www.ecolex.org/details/legislation/law-no-ho-0-n-amending-law-no-ho-82-n-on-environmental-control-lex-faoc199273/?type=legislation&xsubjects=Mineral+resources&page=397,Environment gen., Legislation,"Environmental fees/charges,Enforcement/compliance,Registration","Asia, CIS (Commonwealth of Independent States), EUROPE AND CENTRAL ASIA, Landlocked Developing Countries, Western Asia",This Law enters into force on 1 January 2018.,ECOLEX_Legislation
Law No. ZR-302-N amending Subsoil Code (Law No. HO-280-N).,2017.0,Armenia,Article 31 shall be amended to add the following wording: “Authorized state institution in the field of subsoil management provides information out of centralized register to the tax administration.”,https://www.ecolex.org/details/legislation/law-no-zr-302-n-amending-subsoil-code-law-no-ho-280-n-lex-faoc199277/?type=legislation&xsubjects=Mineral+resources&page=398,Mineral resources, Legislation,"Exploration,Mining,Data collection/reporting,Access-to-information,Tax/levy","Asia, CIS (Commonwealth of Independent States), EUROPE AND CENTRAL ASIA, Landlocked Developing Countries, Western Asia",This Law enters into force on 1 January 2018.,ECOLEX_Legislation
"Decree No. 89/2017 regulating the Law on Protection, Conservation and Sustainable Use of Biodiversity.",2017.0,Mozambique,"This Decree regulates Law No. 16/2014 on Protection, Conservation and Sustainable Use of Biodiversity. The Regulation is applicable to the set of values ​​and natural resources existing in the national territory and in waters under national jurisdiction, covering all public or private entities that may directly or indirectly influence the national system of the country's conservation areas, competing to the National Administration of Conservation Areas (ANAC). Protection zones are classified to guarantee the representative conservation of ecosystems and species and the coexistence of local communities with other interests and values to conserve. Protection zones are classified into: a) Total conservation areas; b) Conservation areas for sustainable use. In addition, it regulates the creation, modification and extinction of conservation areas, the administration and management of conservation areas, the management plans and closure programme, the permitted and prohibited activities in conservation areas (including hunting activities), the exercise of activities in the conservation areas, including the environmental license, the recovery, restoration or rehabilitation of biodiversity, the mechanisms for compensating the conservation effort, the conservation of the natural habitat, and the protection and inspection of biodiversity, setting the sanctioning regime.",https://www.ecolex.org/details/legislation/decree-no-892017-regulating-the-law-on-protection-conservation-and-sustainable-use-of-biodiversity-lex-faoc196845/?type=legislation&xsubjects=Mineral+resources&page=398,"Forestry, Wild species & ecosystems", Regulation,"Protected area,Biodiversity,Inspection,Offences/penalties,Forest management/forest conservation,Sustainable use,Afforestation/reforestation,Classification/declassification,Management/conservation,Hunting authorization/permit,Hunting rights,Wild fauna,Wild flora,Endangered species,Protection of species","Africa, AFRICA FAO, Eastern Africa, Indian Ocean, Least Developed Countries",This Decree enters into force on the day of its publication.,ECOLEX_Legislation
