Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Arrêté n° 15952 du 10 septembre 2019 portant organisation et fonctionnement du fonds de développement local de la série de développement communautaire de l’Unité Forestière d’Exploitation Bambama.,2019.0,Congo,"Le présent arrêté fixe l’organisation et fonctionnement du fonds de développement local de la série de développement communautaire de l’Unité Forestière d’Exploitation Bambama, prévu dans le plan d’aménagement de l’unité forestière d’exploitation Bambama. Ce fonds est destiné à financer les microprojets d’intérêt communautaire dans les limites de la série de développement communautaire (SDC).",https://www.ecolex.org/details/legislation/arrete-n-15952-du-10-septembre-2019-portant-organisation-et-fonctionnement-du-fonds-de-developpement-local-de-la-serie-de-developpement-communautaire-de-lunite-forestiere-dexploitation-bambama-lex-faoc191232/?type=legislation&xsubjects=Mineral+resources&page=199,Forestry, Regulation,"Forest management/forest conservation,Community management,Poverty,Timber extraction/logging,Non-timber products,Access right,Right of use,Special fund","Africa, AFRICA FAO, Central Africa, South Atlantic",,ECOLEX_Legislation
Plant Health (Scotland) Amendment Order 2019 (S.S.I. No. 290 of 2019).,2019.0,United Kingdom,"This Order amends the Plant Health (Scotland) Order 2005 to implement— (a) 98/109/EC: Commission Decision authorising Member States temporarily to take emergency measures against the dissemination of Thrips palmi Karny as regards Thailand, (b) 2004/200/EC: Commission Decision on measures to prevent the introduction into and the spread within the Community of Pepino mosaic virus, (c) Commission Implementing Decision (EU) 2017/2374 setting out conditions for movement, storage and processing of certain fruits and their hybrids originating in third countries to prevent the introduction into the Union of certain harmful organisms, (d) Commission Implementing Decision (EU) 2018/490 repealing Decision 2007/365/EC on emergency measures to prevent the introduction into and the spread within the Community of Rhynchophorus ferrugineus (Olivier); (e) Commission Implementing Decision (EU) 2018/638 establishing emergency measures to prevent the introduction into and the spread within the Union of the harmful organism Spodoptera frugiperda (Smith), (f) Commission Implementing Decision (EU) 2018/1503 establishing measures to prevent the introduction into and the spread within the Union of Aromia bungii (Faldermann), (g) Commission Implementing Decision (EU) 2019/449 amending Commission Implementing Decision (EU) 2016/715 setting out measures in respect of certain fruits originating in certain third countries to prevent the introduction into and the spread within the Union of the harmful organism Phyllosticta citricarpa (McAlpine) Van der Aa, and (h) Commission Implementing Directive (EU) 2019/523 amending Annexes I to V to Council Directive 2000/29/EC on protective measures against the introduction into the Community of organisms harmful to plants or plant products and against their spread within the Community.",https://www.ecolex.org/details/legislation/plant-health-scotland-amendment-order-2019-ssi-no-290-of-2019-lex-faoc192926/?type=legislation&xsubjects=Mineral+resources&page=199,"Forestry, Cultivated plants", Regulation,"Planting material/seeds,Plant protection,Plant production,Pests/diseases,International trade","Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
Disposición Conjunta 1/2019 – Marco de sustentabilidad para actividades pesqueras y de exploración hidrocarburífera.,2019.0,Argentina,"Por medio de la presente Disposición Conjunta, la Subsecretaría de Pesca y Acuicultura y la Subsecretaría de Hidrocarburos y Combustibles asumen el compromiso de velar para que sus respectivas políticas, planes y programas relativos a las actividades pesqueras y de exploración hidrocarburífera en la plataforma continental argentina se desarrollen armónicamente en un marco de sustentabilidad. Asimismo crean un Grupo de Trabajo conjunto que tendrá por objeto: a) generar intercambio de información relevante al objetivo establecido, así como fortalecer la capacidad analítica, predictiva y de respuesta de las autoridades competentes; b) promover la interacción en torno a las políticas públicas sectoriales relevantes.",https://www.ecolex.org/details/legislation/disposicion-conjunta-12019-marco-de-sustentabilidad-para-actividades-pesqueras-y-de-exploracion-hidrocarburifera-lex-faoc189605/?type=legislation&xsubjects=Mineral+resources&page=199,"Fisheries, Mineral resources, Sea", Regulation,"Fishery management and conservation,Continental shelf,Mining,Oil,Sustainable development","Americas, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South Atlantic",,ECOLEX_Legislation
Presidential Decree No. 679/2019 “On the territories and objects of the nature reserve fund of national importance.”,2019.0,Ukraine,"The President decrees to proclaim the territories and objects of nature reserve fund, in accordance with the established procedure, reserves of national importance contained in the Annex (attached).",https://www.ecolex.org/details/legislation/presidential-decree-no-6792019-on-the-territories-and-objects-of-the-nature-reserve-fund-of-national-importance-lex-faoc196726/?type=legislation&xsubjects=Mineral+resources&page=199,"Environment gen., Wild species & ecosystems", Regulation,"Protected area,Classification/declassification,Management/conservation","Black Sea, CIS (Commonwealth of Independent States), Eastern Europe, Europe, EUROPE AND CENTRAL ASIA",,ECOLEX_Legislation
Decreto Nº 41988-MP-MEIC ─ Establece el Sistema Nacional de Protección al Consumidor y Usuario.,2019.0,Costa Rica,"El presente Decreto establece el Sistema Nacional de Protección al Consumidor y Usuario,  como marco estructural para articular, integrar, orientar, ordenar y coordinar las acciones y actividades que desarrollan las instituciones públicas y privadas vinculadas a la protección efectiva de los derechos e intereses legítimos de los consumidores y usuarios de bienes y servicios. El Sistema trabajará mediante un Consejo de Políticas del Consumidor y Comités de Coordinación Sectorial sobre temáticas específicas de protección al consumidor y al usuario. El Sistema asumirá como principios rectores el de justicia, equidad, transparencia, protección universal, eficacia y coordinación.",https://www.ecolex.org/details/legislation/decreto-no-41988-mp-meic-establece-el-sistema-nacional-de-proteccion-al-consumidor-y-usuario-lex-faoc191508/?type=legislation&xsubjects=Mineral+resources&page=199,Agricultural & rural development, Regulation,"Institution,Consumer protection,Internal trade,Capacity building,Non-governmental entity,Dispute settlement,Equity","Americas, Central America, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North-East Pacific",,ECOLEX_Legislation
Genetically Modified Organisms (Deliberate Release) (Amendment) (England) Regulations 2019 (S.I. No. 1252 of 2019).,2019.0,United Kingdom,"These Regulations make for England substantial amendments to the Genetically Modified Organisms (Deliberate Release) Regulations 2002. These amendments are necessary to implement Commission Directive (EU) 2018/350 amending Directive 2001/18/EC of the European Parliament and of the Council as regards the environmental risk assessment of genetically modified organisms. They relate to the information to be contained in applications for consent to release genetically modified higher plants in relation to trials (amendments to regulation 11 of, and Schedule 1 to, the 2002 Regulations. The regulations also make provision in relation to the information to be included in applications for consent to release genetically modified higher plants for commercial purposes (amendments to regulation 16 of, and Schedule 1A to, the 2002 Regulations). These changes are necessary due to the substitution, by the 2018 Directive, of Annexes III and IIIB of Directive 2001/18/EC relating to the deliberate release of genetically modified organisms.",https://www.ecolex.org/details/legislation/genetically-modified-organisms-deliberate-release-amendment-england-regulations-2019-si-no-1252-of-2019-lex-faoc189802/?type=legislation&xsubjects=Mineral+resources&page=199,"Livestock, Environment gen., Food & nutrition, Cultivated plants", Regulation,"Ecosystem preservation,EIA,Pollution control,GMO,Biotechnology,Animal feed/feedstuffs,Plant production","Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
Supplementary provisions of Act No. 15 / 2019 on the implementation of the Kimberley Process Certification Scheme on international trade in rough diamonds.,2019.0,Macau (China),"The Chief Executive has formulated these  supplementary Administrative Provisions in accordance with Article 50(5) of the Basic Law of the Macao Special Administrative Region and Article 32, Paragraph 1 of Act No. 15/2019, after consulting the Executive Council.",https://www.ecolex.org/details/legislation/supplementary-provisions-of-act-no-15-2019-on-the-implementation-of-the-kimberley-process-certification-scheme-on-international-trade-in-rough-diamonds-lex-faoc197766/?type=legislation&xsubjects=Mineral+resources&page=199,Mineral resources, Regulation,"Minerals,International trade,Inspection,Enforcement/compliance,Certification,Authorization/permit,Transport/storage","Asia, Eastern Asia, North Pacific, North-West Pacific",,ECOLEX_Legislation
Regulations Governing Air Pollution Emergency Response Measures and Plans and Issuance of Deterioration Alerts for Air Polluting Accidents.,2019.0,,"These Regulations, consisting of 11 Articles, are enacted in accordance with the Air Pollution Control Act.",https://www.ecolex.org/details/legislation/regulations-governing-air-pollution-emergency-response-measures-and-plans-and-issuance-of-deterioration-alerts-for-air-polluting-accidents-lex-faoc188984/?type=legislation&xsubjects=Mineral+resources&page=199,Air & atmosphere, Regulation,"Pollution control,Early warning system/emergency intervention system,Emissions,Policy/planning",,,ECOLEX_Legislation
Regulations on Establishment and Monitoring of Air Quality Monitoring Stations.,2019.0,,These Regulations are enacted in accordance with the  second paragraph of Article 13 of the Air Pollution Prevention and Control Act.,https://www.ecolex.org/details/legislation/regulations-on-establishment-and-monitoring-of-air-quality-monitoring-stations-lex-faoc188985/?type=legislation&xsubjects=Mineral+resources&page=199,Air & atmosphere, Regulation,"Air quality/air pollution,Monitoring,Data collection/reporting,Pollution control",,,ECOLEX_Legislation
"Décret exécutif n° 19-241 du 8 Moharram 1441 correspondant au 8 septembre 2019 modifiant et complétant le décret exécutif n° 07-145 du 2 Joumada El Oula 1428 correspondant au 19 mai 2007 déterminant le champ d'application, le contenu et les modalités d'approbation des études et des notices d'impact sur l'environnement.",2019.0,Algeria,"Le présent décret a pour objet de modifier et de compléter certaines dispositions du décret exécutif n° 07 - 145 du 2 Joumada El Oula 1428 correspondant au 19 mai 2007 déterminant le champ d'application, le contenu et les modalités d'approbation des études et des notices d'impact sur l'environnement. Les listes des projets soumis à étude d'impact et à notice d'impact fixés en annexes I et II du décret exécutif n° 07- 145 du 2 Joumada El Oula 1428 correspondant au 19 mai 2007, susvisé, sont modifiées et complétées, et annexées au présent décret.",https://www.ecolex.org/details/legislation/decret-executif-n-19-241-du-8-moharram-1441-correspondant-au-8-septembre-2019-modifiant-et-completant-le-decret-executif-n-07-145-du-2-joumada-el-oula-1428-correspondant-au-19-mai-2007-determinant-le-champ-dapplication-le-contenu-et-les-modalites-dapprobation-des-etudes-et-des-notices-dimpact-sur-lenvironnement-lex-faoc200181/?type=legislation&xsubjects=Mineral+resources&page=199,Environment gen., Regulation,"Environmental planning,Inspection,Authorization/permit,Enforcement/compliance,EIA","Africa, Mediterranean, NEAR EAST AND NORTH AFRICA, Northern Africa",,ECOLEX_Legislation
