Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Law carrying into effect the Swedish Environmental Code (1998:811).,1998.0,Sweden,"This Act concerns the process of introduction of the Swedish Environmental Code and declares various Acts to be repealed upon the entry into force of the Code. The Act deals with existing authorizations, legal proceedings, enforcement measures, etc. and other transitional matters, and provides with respect to the continuing into existence of subsidiary legislation issued under the repealed Acts. Act SFS 1420 of 2018 introduces amendments in sections 39 and 41 regarding the applicability of provisions of the Water Act (1918:523).",https://www.ecolex.org/details/legislation/law-carrying-into-effect-the-swedish-environmental-code-1998811-lex-faoc176758/?type=legislation&xsubjects=Mineral+resources&page=3173,"Environment gen., Sea, Water, Wild species & ecosystems, Waste & hazardous substances", Legislation,"Basic legislation,Institution,Pollution control,EIA,Access-to-information,Agricultural land,Ecosystem preservation,Environmental audit,Environmental planning,GMO,Environmental standards,Inspection,Polluter pays principle,Enforcement/compliance,Offences/penalties,Soil rehabilitation,Management/conservation,Waste management,Waste prevention,Water conservation zone,Waterworks,Drainage/land reclamation,Authorization/permit,Protected area,National parks","Arctic, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
"Coordinated text of the Decree-Law 11 June 1998, n. 180 Text of the Decree-law 11 June 1998, n. 180, coordinated with the conversion Law of 3 August 1998, n. 267, containing: ""Urgent measures for the prevention of hydrogeological risk and for the areas affected by landslides in the Campania region”.",1998.0,Italy,This Legislative Decree contains the list of urgent measures for the prevention of hydrogeological risk and for the areas affected by landslides on the territory of the Campania region (Republic of Italy).,https://www.ecolex.org/details/legislation/coordinated-text-of-the-decree-law-11-june-1998-n-180-text-of-the-decree-law-11-june-1998-n-180-coordinated-with-the-conversion-law-of-3-august-1998-n-267-containing-urgent-measures-for-the-prevention-of-hydrogeological-risk-and-for-the-areas-affected-by-landslides-in-the-campania-region-lex-faoc192920/?type=legislation&xsubjects=Mineral+resources&page=3173,"Land & soil, Water", Legislation,"Soil conservation/soil improvement,Risk assessment/management,Early warning system/emergency intervention system,Rainwater,Disasters","Alps, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, Mediterranean, Southern Europe",This Law entered into force on 7 August 1998.,ECOLEX_Legislation
Ordonnance sur l'aide financière du canton aux mesures prises et aux indemnités versées dans le cadre de l'aménagement du territoire (Ordonnance sur le financement de l'aménagement; OFA).,1998.0,Switzerland,"La présente ordonnance met en exécution la loi sur les constructions du 9 juin 1985. L’article 1er établit que l’ordonnance définit les plans, études de base et mesures ainsi que les organisations susceptibles de bénéficier de subventions cantonales. Elle précise en outre les taux de subventionnement, les critères déterminant les frais à prendre en compte, la procédure applicable et la surveillance. Le texte comprend 17 articles répartis en 6 chapitres comme suit: Généralités (Ier); II. Subventions accordées aux régions et à leurs plans d'aménagement (II); Subventions accordées à des projets (III); Procédure et surveillance (IV); Organisations susceptibles de recevoir des subventions et versement des contributions de membre (V); Entrée en vigueur (VI).",https://www.ecolex.org/details/legislation/ordonnance-sur-laide-financiere-du-canton-aux-mesures-prises-et-aux-indemnites-versees-dans-le-cadre-de-lamenagement-du-territoire-ordonnance-sur-le-financement-de-lamenagement-ofa-lex-faoc113258/?type=legislation&xsubjects=Mineral+resources&page=3173,Land & soil, Regulation,"Land-use planning,Subsidy/incentive,Inspection,Legal proceedings/administrative proceedings","Alps, Europe, EUROPE AND CENTRAL ASIA, North-East Atlantic, Western Europe","La présente ordonnance entre en vigueur le 1er septembre 1998, à l'exception de l'article 9, 3e alinéa dont l'entrée en vigueur est fixée au 1er janvier 1999.",ECOLEX_Legislation
Decree No. 2571-II GD of 1998 of the State Duma regarding the appeal of the State Duma to the President B.N. Eltsin.,1998.0,Russian Federation,"Presidential Decree No. 483 of 1998, regarding the structure of the Federal Administration"", established the creation of the Federal Ministry on Land Policy. Considering the accomplishment of the land reform a crucial economic, social and political issue, the State Duma recommends the President to transfer the functions of the State Committee on Land Resources and Land Survey to the Ministry of Agriculture and Food. This measure, according to the State Duma, would facilitate the accomplishment of the land reform.",https://www.ecolex.org/details/legislation/decree-no-2571-ii-gd-of-1998-of-the-state-duma-regarding-the-appeal-of-the-state-duma-to-the-president-bn-eltsin-lex-faoc022173/?type=legislation&xsubjects=Mineral+resources&page=3173,Land & soil, Regulation,"Institution,Public land,Ownership,Land reform,Land tenure","Arctic, ASIA AND THE PACIFIC, Black Sea, Caspian Sea, CIS (Commonwealth of Independent States), Eastern Europe, Europe, EUROPE AND CENTRAL ASIA, North Pacific, North-West Pacific",Entry into force from the date of its official promulgation.,ECOLEX_Legislation
Regulation on the official card for environmental inspectors.,1998.0,Croatia,"This Regulation prescribes the official form for cards carried by environmental inspectors in the State Directorate for the Protection of Nature and Environment, environmental inspectors in the county office and the City of Zagreb in charge of protecting the environment on the territory of the Croatian Republic.",https://www.ecolex.org/details/legislation/regulation-on-the-official-card-for-environmental-inspectors-lex-faoc127398/?type=legislation&xsubjects=Mineral+resources&page=3174,Environment gen., Regulation,"Inspection,Data collection/reporting,Registration","Europe, EUROPE AND CENTRAL ASIA, Mediterranean, Southern Europe",This Regulation enters into force eight days after its publication in the Official Gazette.,ECOLEX_Legislation
Regulations of the People's Republic of China on Control of Nuclear Dual-Use Items and Related Technologies Export.,1998.0,China,"These Regulations are formulated for the purpose of strengthening control of nuclear dual-use items and related technologies export, preventing proliferation of nuclear weapons, protecting against nuclear terroristic acts, promoting international cooperation in peaceful use of nuclear energy, and safeguarding State security and public interests. The Text consists of 29 Articles.",https://www.ecolex.org/details/legislation/regulations-of-the-peoples-republic-of-china-on-control-of-nuclear-dual-use-items-and-related-technologies-export-lex-faoc149841/?type=legislation&xsubjects=Mineral+resources&page=3174,Energy, Regulation,"Nuclear energy,Institution,Inspection,Authorization/permit,Registration,International trade,Offences/penalties","Asia, ASIA AND THE PACIFIC, East Asian Seas, Eastern Asia, North Pacific, North-West Pacific",These Regulations entered into force as of the date of promulgation.,ECOLEX_Legislation
Act No. 57 on the exploration and utilization of ground resources.,1998.0,Iceland,"The present Act covers the survey and utilization of resources in the ground, at the bottom of rivers and lakes and at the bottom of the sea within netting limits. It also covers surveys of hydropower for the generation of electricity. The Act has 36 articles distributed in the following Chapters: I. Scope and Definitions; II. Ownership rights to resources; III. Surveys and prospecting; IV. Utilization of resources; V. Minerals; VI. Geothermal energy; VII. Groundwater; VIII.  Conditions for the issue of licences, their substance and revocation; IX. Protection and monitoring of extraction areas, disclosure requirements, handling of information etc.; X. Provisions on Expropriation and Compensation; XI. Miscellaneous Provisions;",https://www.ecolex.org/details/legislation/act-no-57-on-the-exploration-and-utilization-of-ground-resources-lex-faoc202052/?type=legislation&xsubjects=Mineral+resources&page=3174,"Energy, Mineral resources, Water", Legislation,"Energy conservation/energy production,Renewable energy,Access right,Authorization/permit,Concession,Exploration,Minerals,Legal proceedings/administrative proceedings,Liability/compensation,Mining,Natural gas,Procedural matters,Monitoring,Groundwater,Water supply,Hydropower generation,Irrigation,Water abstraction","Arctic, Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, North Atlantic, North-East Atlantic, Northern Europe",This Act entered into force on 18 June 1998.,ECOLEX_Legislation
"Act No. 58 on national lands and the determination of the boundaries of owner lands, national lands and pastures.",1998.0,Iceland,The present Act sets rules for ownership of lands. It contains the following chapters: I. Definitions; II. National lands; III. Wilderness committee; and IV. Various provisions.,https://www.ecolex.org/details/legislation/act-no-58-on-national-lands-and-the-determination-of-the-boundaries-of-owner-lands-national-lands-and-pastures-lex-faoc199784/?type=legislation&xsubjects=Mineral+resources&page=3174,Land & soil, Legislation,"Classification/declassification,Survey/mapping,Private land,Property rights,Concession,Drainage/land reclamation,Land commission,Pastoralism,Institution,Legal proceedings/administrative proceedings,Authorization/permit","Arctic, Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, North Atlantic, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
Ordinance on agricultural lease.,1998.0,Switzerland,The present Ordinance regulates the implementation of the Federal Agricultural Lease Act of 4 October 1985. Article 2 names the Agricultural Centre of Ebenrain as competent authority in all related matters; article 3 deals with authorities entitled to file an appeal and the relevant proceedings; article 4 concerns legal protection; and article 7 fixes the entry into force.,https://www.ecolex.org/details/legislation/ordinance-on-agricultural-lease-lex-faoc082956/?type=legislation&xsubjects=Mineral+resources&page=3174,"Agricultural & rural development, Land & soil", Regulation,"Agricultural land,Court/tribunal,Legal proceedings/administrative proceedings,Farming,Lease,Enforcement/compliance","Alps, Europe, EUROPE AND CENTRAL ASIA, North-East Atlantic, Western Europe",The present Ordinance enters into force on 1 July 1998.,ECOLEX_Legislation
Ordinance implementing the Law on the conservation of agricultural land.,1998.0,Switzerland,"The present Ordinance implements the Act of 19 December 1989 on the conservation of agricultural land. In particular, it establishes the details of compensation for the expropriation of agricultural land. The competent office assesses the value of the land and its income and manages the Canton Fund destined for the purchase, improvement or reclamation of agricultural areas. The text consists of 11 articles divided into 5 Parts as follows: Compensation for reduction of agricultural land (I); Payment of compensation (II); Reclamations (III); Appeal and legal protection (IV); Transitional and final provisions (V).",https://www.ecolex.org/details/legislation/ordinance-implementing-the-law-on-the-conservation-of-agricultural-land-lex-faoc103761/?type=legislation&xsubjects=Mineral+resources&page=3174,Agricultural & rural development, Regulation,"Agricultural land,Policy/planning,Subsidy/incentive,Dispute settlement,Court/tribunal","Alps, Europe, EUROPE AND CENTRAL ASIA, North-East Atlantic, Western Europe",,ECOLEX_Legislation
